"Plot","RecNo","Day","Month","Hour","Min","CO2_Ref","mb_Ref","mbR_Temp","Input_A","Input_B","Input_C","Input_D","Input_E","Input_F","Input_G","Input_H","ATMP","Probe Type","filename","Sec"
85,16,18,7,13,4,586,0,0,0,0,23.8,135,72,1.99,2,0,1013,8,"July182013P22 (copy).dat",150
85,17,18,7,13,4,594,0,0,0,0,23.7,143,76,1.98,2,0,1013,8,"July182013P22 (copy).dat",160
85,18,18,7,13,4,602,0,0,0,0,23.7,151,81,1.98,2,0,1013,8,"July182013P22 (copy).dat",170
85,19,18,7,13,4,610,0,0,0,0,23.6,159,86,1.98,2,0,1013,8,"July182013P22 (copy).dat",180
85,20,18,7,13,4,618,0,0,0,0,23.6,167,91,1.97,2,0,1013,8,"July182013P22 (copy).dat",190
85,21,18,7,13,5,626,0,0,0,0,23.6,175,96,1.97,2,0,1013,8,"July182013P22 (copy).dat",200
85,22,18,7,13,5,634,0,0,0,0,23.5,182,100,1.96,2,0,1013,8,"July182013P22 (copy).dat",210
85,23,18,7,13,5,642,0,0,0,0,23.5,190,105,1.95,2,0,1013,8,"July182013P22 (copy).dat",220
85,24,18,7,13,5,650,0,0,0,0,23.5,198,110,1.95,2,0,1013,8,"July182013P22 (copy).dat",230
85,25,18,7,13,5,658,0,0,0,0,23.5,206,115,1.94,2,0,1013,8,"July182013P22 (copy).dat",240
85,26,18,7,13,5,666,0,0,0,0,23.4,214,120,1.93,2,0,1013,8,"July182013P22 (copy).dat",250
85,27,18,7,13,5,674,0,0,0,0,23.4,221,124,1.93,2,0,1013,8,"July182013P22 (copy).dat",260
85,28,18,7,13,5,681,0,0,0,0,23.4,229,129,1.92,2,0,1013,8,"July182013P22 (copy).dat",270
85,29,18,7,13,5,689,0,0,0,0,23.3,236,134,1.91,2,0,1013,8,"July182013P22 (copy).dat",280
85,30,18,7,13,5,697,0,0,0,0,23.3,244,139,1.91,2,0,1013,8,"July182013P22 (copy).dat",290
85,31,18,7,13,5,705,0,0,0,0,23.3,252,144,1.9,2,0,1013,8,"July182013P22 (copy).dat",300
85,32,18,7,13,5,712,0,0,0,0,23.3,259,148,1.9,2,0,1013,8,"July182013P22 (copy).dat",310
85,33,18,7,13,5,720,0,0,0,0,23.3,267,153,1.89,2,0,1013,8,"July182013P22 (copy).dat",320
86,1,18,7,13,6,672,0,0,0,0,26.3,0,0,0,2,0,1013,8,"July182013P22 (copy).dat",0
86,2,18,7,13,7,674,0,0,0,0,26.4,0,4,0,2,0,1013,8,"July182013P22 (copy).dat",10
86,3,18,7,13,7,677,0,0,0,0,26.4,0,9,0,2,0,1013,8,"July182013P22 (copy).dat",20
86,4,18,7,13,7,677,0,0,0,0,26.4,5,14,0.72,2,0,1013,8,"July182013P22 (copy).dat",30
86,5,18,7,13,7,679,0,0,0,0,26.5,7,19,0.57,2,0,1013,8,"July182013P22 (copy).dat",40
86,6,18,7,13,7,682,0,0,0,0,26.5,9,24,0.38,2,0,1013,8,"July182013P22 (copy).dat",50
86,7,18,7,13,7,685,0,0,0,0,26.5,12,28,0.41,2,0,1013,8,"July182013P22 (copy).dat",60
86,8,18,7,13,7,687,0,0,0,0,26.6,14,33,0.42,2,0,1013,8,"July182013P22 (copy).dat",70
86,9,18,7,13,7,691,0,0,0,0,26.6,17,38,0.45,2,0,1013,8,"July182013P22 (copy).dat",80
86,10,18,7,13,7,693,0,0,0,0,26.6,20,43,0.46,2,0,1013,8,"July182013P22 (copy).dat",90
86,11,18,7,13,7,696,0,0,0,0,26.7,23,48,0.47,2,0,1013,8,"July182013P22 (copy).dat",100
86,12,18,7,13,7,698,0,0,0,0,26.7,26,52,0.48,2,0,1013,8,"July182013P22 (copy).dat",110
86,13,18,7,13,7,701,0,0,0,0,26.7,29,57,0.48,2,0,1013,8,"July182013P22 (copy).dat",120
86,14,18,7,13,7,703,0,0,0,0,26.7,31,62,0.49,2,0,1013,8,"July182013P22 (copy).dat",130
86,15,18,7,13,8,706,0,0,0,0,26.8,34,67,0.49,2,0,1013,8,"July182013P22 (copy).dat",140
86,16,18,7,13,8,708,0,0,0,0,26.8,37,72,0.49,2,0,1013,8,"July182013P22 (copy).dat",150
86,17,18,7,13,8,711,0,0,0,0,26.8,39,76,0.5,2,0,1013,8,"July182013P22 (copy).dat",160
86,18,18,7,13,8,714,0,0,0,0,26.8,42,81,0.5,2,0,1013,8,"July182013P22 (copy).dat",170
86,19,18,7,13,8,717,0,0,0,0,26.8,45,86,0.5,2,0,1013,8,"July182013P22 (copy).dat",180
86,20,18,7,13,8,719,0,0,0,0,26.9,48,91,0.5,2,0,1013,8,"July182013P22 (copy).dat",190
86,21,18,7,13,8,722,0,0,0,0,26.9,50,96,0.5,2,0,1013,8,"July182013P22 (copy).dat",200
86,22,18,7,13,8,724,0,0,0,0,26.9,53,100,0.51,2,0,1013,8,"July182013P22 (copy).dat",210
86,23,18,7,13,8,727,0,0,0,0,26.9,55,105,0.51,2,0,1013,8,"July182013P22 (copy).dat",220
86,24,18,7,13,8,729,0,0,0,0,26.9,58,110,0.51,2,0,1013,8,"July182013P22 (copy).dat",230
86,25,18,7,13,8,731,0,0,0,0,26.9,61,115,0.51,2,0,1013,8,"July182013P22 (copy).dat",240
86,26,18,7,13,8,734,0,0,0,0,26.9,63,120,0.48,2,0,1013,8,"July182013P22 (copy).dat",250
86,27,18,7,13,9,737,0,0,0,0,27,66,124,0.48,2,0,1013,8,"July182013P22 (copy).dat",260
86,28,18,7,13,9,739,0,0,0,0,27,68,129,0.49,2,0,1013,8,"July182013P22 (copy).dat",270
86,29,18,7,13,9,741,0,0,0,0,27,70,134,0.49,2,0,1013,8,"July182013P22 (copy).dat",280
86,30,18,7,13,9,743,0,0,0,0,27,73,139,0.5,2,0,1013,8,"July182013P22 (copy).dat",290
86,31,18,7,13,9,745,0,0,0,0,27,75,144,0.51,2,0,1013,8,"July182013P22 (copy).dat",300
86,32,18,7,13,9,746,0,0,0,0,27,77,148,0.52,2,0,1013,8,"July182013P22 (copy).dat",310
86,33,18,7,13,9,749,0,0,0,0,27,79,153,0.52,2,0,1013,8,"July182013P22 (copy).dat",320
14,1,18,7,12,11,585,0,0,0,0,26.1,0,0,0,2,0,1014,8,"July182013P22 (another copy).dat",0
14,2,18,7,12,11,581,0,0,0,0,26.1,0,4,0,2,0,1013,8,"July182013P22 (another copy).dat",10
14,3,18,7,12,11,581,0,0,0,0,26.2,0,9,0,2,0,1014,8,"July182013P22 (another copy).dat",20
14,4,18,7,12,11,581,0,0,0,0,26.2,3,14,-0.99,2,1,1014,8,"July182013P22 (another copy).dat",30
14,5,18,7,12,11,583,0,0,0,0,26.2,2,19,-0.81,2,1,1013,8,"July182013P22 (another copy).dat",40
14,6,18,7,12,11,583,0,0,0,0,26.3,0,24,-0.59,2,1,1013,8,"July182013P22 (another copy).dat",50
14,7,18,7,12,11,584,0,0,0,0,26.3,0,28,0.01,2,0,1013,8,"July182013P22 (another copy).dat",60
14,8,18,7,12,11,583,0,0,0,0,26.3,0,33,0.02,2,0,1014,8,"July182013P22 (another copy).dat",70
14,9,18,7,12,11,585,0,0,0,0,26.3,1,38,0.04,2,0,1013,8,"July182013P22 (another copy).dat",80
14,10,18,7,12,12,585,0,0,0,0,26.3,2,43,0.05,2,0,1013,8,"July182013P22 (another copy).dat",90
14,11,18,7,12,12,586,0,0,0,0,26.3,3,48,0.06,2,0,1013,8,"July182013P22 (another copy).dat",100
14,12,18,7,12,12,586,0,0,0,0,26.4,4,52,0.07,2,0,1013,8,"July182013P22 (another copy).dat",110
14,13,18,7,12,12,586,0,0,0,0,26.4,4,57,0.07,2,0,1014,8,"July182013P22 (another copy).dat",120
14,14,18,7,12,12,587,0,0,0,0,26.4,5,62,0.08,2,0,1013,8,"July182013P22 (another copy).dat",130
14,15,18,7,12,12,588,0,0,0,0,26.4,6,67,0.08,2,0,1013,8,"July182013P22 (another copy).dat",140
14,16,18,7,12,12,588,0,0,0,0,26.4,6,72,0.08,2,0,1014,8,"July182013P22 (another copy).dat",150
14,17,18,7,12,12,589,0,0,0,0,26.5,7,76,0.09,2,0,1013,8,"July182013P22 (another copy).dat",160
14,18,18,7,12,12,590,0,0,0,0,26.5,8,81,0.09,2,0,1013,8,"July182013P22 (another copy).dat",170
14,19,18,7,12,12,590,0,0,0,0,26.5,8,86,0.09,2,0,1014,8,"July182013P22 (another copy).dat",180
14,20,18,7,12,12,590,0,0,0,0,26.5,9,91,0.09,2,0,1014,8,"July182013P22 (another copy).dat",190
14,21,18,7,12,12,591,0,0,0,0,26.5,9,96,0.09,2,0,1013,8,"July182013P22 (another copy).dat",200
14,22,18,7,12,13,591,0,0,0,0,26.5,10,100,0.09,2,0,1013,8,"July182013P22 (another copy).dat",210
14,23,18,7,12,13,592,0,0,0,0,26.5,10,105,0.09,2,0,1013,8,"July182013P22 (another copy).dat",220
14,24,18,7,12,13,592,0,0,0,0,26.6,11,110,0.09,2,0,1014,8,"July182013P22 (another copy).dat",230
14,25,18,7,12,13,593,0,0,0,0,26.6,11,115,0.09,2,0,1013,8,"July182013P22 (another copy).dat",240
14,26,18,7,12,13,594,0,0,0,0,26.6,12,120,0.09,2,0,1013,8,"July182013P22 (another copy).dat",250
14,27,18,7,12,13,595,0,0,0,0,26.6,13,124,0.1,2,0,1013,8,"July182013P22 (another copy).dat",260
14,28,18,7,12,13,596,0,0,0,0,26.6,13,129,0.1,2,0,1013,8,"July182013P22 (another copy).dat",270
14,29,18,7,12,13,596,0,0,0,0,26.6,14,134,0.1,2,0,1014,8,"July182013P22 (another copy).dat",280
14,30,18,7,12,13,596,0,0,0,0,26.6,15,139,0.1,2,0,1014,8,"July182013P22 (another copy).dat",290
14,31,18,7,12,13,597,0,0,0,0,26.6,15,144,0.1,2,0,1013,8,"July182013P22 (another copy).dat",300
14,32,18,7,12,13,598,0,0,0,0,26.7,16,148,0.1,2,0,1013,8,"July182013P22 (another copy).dat",310
14,33,18,7,12,13,599,0,0,0,0,26.7,17,153,0.1,2,0,1013,8,"July182013P22 (another copy).dat",320
15,1,18,7,12,7,833,0,0,0,0,23.4,0,0,0,2,0,1013,8,"July182013P22 (another copy).dat",0
15,2,18,7,12,7,828,0,0,0,0,23.4,0,4,0,2,0,1013,8,"July182013P22 (another copy).dat",10
15,3,18,7,12,7,828,0,0,0,0,23.3,0,9,0,2,0,1013,8,"July182013P22 (another copy).dat",20
15,4,18,7,12,7,828,0,0,0,0,23.3,4,14,-1.19,2,1,1013,8,"July182013P22 (another copy).dat",30
15,5,18,7,12,7,830,0,0,0,0,23.3,2,19,-0.94,2,1,1013,8,"July182013P22 (another copy).dat",40
15,6,18,7,12,7,832,0,0,0,0,23.2,0,24,-0.74,2,1,1013,8,"July182013P22 (another copy).dat",50
15,7,18,7,12,8,833,0,0,0,0,23.2,2,28,-0.56,2,1,1013,8,"July182013P22 (another copy).dat",60
15,8,18,7,12,8,835,0,0,0,0,23.2,4,33,0.13,2,0,1013,8,"July182013P22 (another copy).dat",70
15,9,18,7,12,8,837,0,0,0,0,23.2,6,38,0.17,2,0,1013,8,"July182013P22 (another copy).dat",80
15,10,18,7,12,8,839,0,0,0,0,23.2,9,43,0.2,2,0,1013,8,"July182013P22 (another copy).dat",90
15,11,18,7,12,8,841,0,0,0,0,23.2,11,48,0.23,2,0,1013,8,"July182013P22 (another copy).dat",100
15,12,18,7,12,8,843,0,0,0,0,23.1,14,52,0.25,2,0,1013,8,"July182013P22 (another copy).dat",110
15,13,18,7,12,8,845,0,0,0,0,23.1,16,57,0.27,2,0,1013,8,"July182013P22 (another copy).dat",120
15,14,18,7,12,8,847,0,0,0,0,23.1,18,62,0.29,2,0,1013,8,"July182013P22 (another copy).dat",130
15,15,18,7,12,8,849,0,0,0,0,23.1,21,67,0.3,2,0,1013,8,"July182013P22 (another copy).dat",140
15,16,18,7,12,8,851,0,0,0,0,23.1,23,72,0.31,2,0,1013,8,"July182013P22 (another copy).dat",150
15,17,18,7,12,8,854,0,0,0,0,23.1,26,76,0.32,2,0,1013,8,"July182013P22 (another copy).dat",160
15,18,18,7,12,8,856,0,0,0,0,23.1,28,81,0.33,2,0,1013,8,"July182013P22 (another copy).dat",170
15,19,18,7,12,8,857,0,0,0,0,23.1,30,86,0.34,2,0,1014,8,"July182013P22 (another copy).dat",180
15,20,18,7,12,9,860,0,0,0,0,23.1,33,91,0.34,2,0,1013,8,"July182013P22 (another copy).dat",190
15,21,18,7,12,9,862,0,0,0,0,23.1,35,96,0.35,2,0,1013,8,"July182013P22 (another copy).dat",200
15,22,18,7,12,9,865,0,0,0,0,23.1,37,100,0.36,2,0,1013,8,"July182013P22 (another copy).dat",210
15,23,18,7,12,9,867,0,0,0,0,23.1,40,105,0.36,2,0,1013,8,"July182013P22 (another copy).dat",220
15,24,18,7,12,9,869,0,0,0,0,23,42,110,0.37,2,0,1013,8,"July182013P22 (another copy).dat",230
15,25,18,7,12,9,870,0,0,0,0,23,45,115,0.37,2,0,1014,8,"July182013P22 (another copy).dat",240
15,26,18,7,12,9,874,0,0,0,0,23,47,120,0.38,2,0,1013,8,"July182013P22 (another copy).dat",250
15,27,18,7,12,9,876,0,0,0,0,23,50,124,0.38,2,0,1013,8,"July182013P22 (another copy).dat",260
15,28,18,7,12,9,877,0,0,0,0,23,52,129,0.38,2,0,1014,8,"July182013P22 (another copy).dat",270
15,29,18,7,12,9,879,0,0,0,0,23,54,134,0.39,2,0,1014,8,"July182013P22 (another copy).dat",280
15,30,18,7,12,9,883,0,0,0,0,23,57,139,0.39,2,0,1013,8,"July182013P22 (another copy).dat",290
15,31,18,7,12,9,885,0,0,0,0,23,59,144,0.4,2,0,1013,8,"July182013P22 (another copy).dat",300
15,32,18,7,12,10,887,0,0,0,0,23,62,148,0.4,2,0,1013,8,"July182013P22 (another copy).dat",310
15,33,18,7,12,10,888,0,0,0,0,23,64,153,0.4,2,0,1014,8,"July182013P22 (another copy).dat",320
16,1,18,7,12,3,543,0,0,0,0,29.1,0,0,0,0,0,1013,8,"July182013P22 (another copy).dat",0
16,2,18,7,12,3,553,0,0,0,0,29,0,4,0,0,0,1013,8,"July182013P22 (another copy).dat",10
16,3,18,7,12,3,561,0,0,0,0,29,0,9,0,0,0,1013,8,"July182013P22 (another copy).dat",20
16,4,18,7,12,4,571,0,0,0,0,29,27,14,1.7,2,0,1013,8,"July182013P22 (another copy).dat",30
16,5,18,7,12,4,580,0,0,0,0,28.9,36,19,1.77,2,0,1013,8,"July182013P22 (another copy).dat",40
16,6,18,7,12,4,590,0,0,0,0,28.9,46,24,1.73,2,0,1013,8,"July182013P22 (another copy).dat",50
16,7,18,7,12,4,600,0,0,0,0,28.9,56,28,1.72,2,0,1013,8,"July182013P22 (another copy).dat",60
16,8,18,7,12,4,609,0,0,0,0,28.9,66,33,1.8,2,0,1013,8,"July182013P22 (another copy).dat",70
16,9,18,7,12,4,620,0,0,0,0,28.8,76,38,1.79,2,0,1013,8,"July182013P22 (another copy).dat",80
16,10,18,7,12,4,630,0,0,0,0,28.8,86,43,1.79,2,0,1013,8,"July182013P22 (another copy).dat",90
16,11,18,7,12,4,639,0,0,0,0,28.8,96,48,1.83,2,0,1013,8,"July182013P22 (another copy).dat",100
16,12,18,7,12,4,650,0,0,0,0,28.8,106,52,1.84,2,0,1013,8,"July182013P22 (another copy).dat",110
16,13,18,7,12,4,660,0,0,0,0,28.8,117,57,1.85,2,0,1013,8,"July182013P22 (another copy).dat",120
16,14,18,7,12,4,668,0,0,0,0,28.8,126,62,1.89,2,0,1013,8,"July182013P22 (another copy).dat",130
16,15,18,7,12,4,679,0,0,0,0,28.7,136,67,1.89,2,0,1013,8,"July182013P22 (another copy).dat",140
16,16,18,7,12,4,690,0,0,0,0,28.7,146,72,1.89,2,0,1013,8,"July182013P22 (another copy).dat",150
16,17,18,7,12,5,699,0,0,0,0,28.7,156,76,1.9,2,0,1013,8,"July182013P22 (another copy).dat",160
16,18,18,7,12,5,709,0,0,0,0,28.7,166,81,1.9,2,0,1013,8,"July182013P22 (another copy).dat",170
16,19,18,7,12,5,718,0,0,0,0,28.7,176,86,1.92,2,0,1013,8,"July182013P22 (another copy).dat",180
16,20,18,7,12,5,727,0,0,0,0,28.7,185,91,1.94,2,0,1013,8,"July182013P22 (another copy).dat",190
16,21,18,7,12,5,737,0,0,0,0,28.7,195,96,1.94,2,0,1013,8,"July182013P22 (another copy).dat",200
16,22,18,7,12,5,747,0,0,0,0,28.7,205,100,1.95,2,0,1013,8,"July182013P22 (another copy).dat",210
16,23,18,7,12,5,757,0,0,0,0,28.7,215,105,1.95,2,0,1013,8,"July182013P22 (another copy).dat",220
16,24,18,7,12,5,767,0,0,0,0,28.7,225,110,1.95,2,0,1013,8,"July182013P22 (another copy).dat",230
16,25,18,7,12,5,778,0,0,0,0,28.6,235,115,1.94,2,0,1013,8,"July182013P22 (another copy).dat",240
16,26,18,7,12,5,788,0,0,0,0,28.6,245,120,1.93,2,0,1013,8,"July182013P22 (another copy).dat",250
16,27,18,7,12,5,796,0,0,0,0,28.6,255,124,1.94,2,0,1013,8,"July182013P22 (another copy).dat",260
16,28,18,7,12,5,806,0,0,0,0,28.6,264,129,1.95,2,0,1013,8,"July182013P22 (another copy).dat",270
16,29,18,7,12,6,816,0,0,0,0,28.6,274,134,1.95,2,0,1013,8,"July182013P22 (another copy).dat",280
16,30,18,7,12,6,828,0,0,0,0,28.6,284,139,1.95,2,0,1013,8,"July182013P22 (another copy).dat",290
16,31,18,7,12,6,838,0,0,0,0,28.6,294,144,1.94,2,0,1013,8,"July182013P22 (another copy).dat",300
16,32,18,7,12,6,846,0,0,0,0,28.6,304,148,1.95,2,0,1013,8,"July182013P22 (another copy).dat",310
16,33,18,7,12,6,855,0,0,0,0,28.6,314,153,1.95,2,0,1013,8,"July182013P22 (another copy).dat",320
24,1,18,7,13,23,460,0,0,0,0,28.4,0,0,0,2,0,1013,8,"July182013P22 (another copy).dat",0
24,2,18,7,13,23,461,0,0,0,0,28.4,0,4,0,2,0,1013,8,"July182013P22 (another copy).dat",10
24,3,18,7,13,23,463,0,0,0,0,28.4,0,9,0,2,0,1013,8,"July182013P22 (another copy).dat",20
24,4,18,7,13,23,464,0,0,0,0,28.4,4,14,0.28,2,0,1013,8,"July182013P22 (another copy).dat",30
24,5,18,7,13,23,465,0,0,0,0,28.4,5,19,0.28,2,0,1013,8,"July182013P22 (another copy).dat",40
24,6,18,7,13,24,467,0,0,0,0,28.4,6,24,0.27,2,0,1013,8,"July182013P22 (another copy).dat",50
24,7,18,7,13,24,468,0,0,0,0,28.4,8,28,0.28,2,0,1013,8,"July182013P22 (another copy).dat",60
24,8,18,7,13,24,469,0,0,0,0,28.4,9,33,0.27,2,0,1013,8,"July182013P22 (another copy).dat",70
24,9,18,7,13,24,471,0,0,0,0,28.4,11,38,0.27,2,0,1013,8,"July182013P22 (another copy).dat",80
24,10,18,7,13,24,472,0,0,0,0,28.4,12,43,0.27,2,0,1013,8,"July182013P22 (another copy).dat",90
24,11,18,7,13,24,473,0,0,0,0,28.5,13,48,0.27,2,0,1013,8,"July182013P22 (another copy).dat",100
24,12,18,7,13,24,475,0,0,0,0,28.5,14,52,0.27,2,0,1013,8,"July182013P22 (another copy).dat",110
24,13,18,7,13,24,476,0,0,0,0,28.5,16,57,0.27,2,0,1013,8,"July182013P22 (another copy).dat",120
24,14,18,7,13,24,477,0,0,0,0,28.5,17,62,0.26,2,0,1013,8,"July182013P22 (another copy).dat",130
24,15,18,7,13,24,478,0,0,0,0,28.5,18,67,0.26,2,0,1013,8,"July182013P22 (another copy).dat",140
24,16,18,7,13,24,479,0,0,0,0,28.5,19,72,0.26,2,0,1013,8,"July182013P22 (another copy).dat",150
24,17,18,7,13,24,480,0,0,0,0,28.5,20,76,0.26,2,0,1014,8,"July182013P22 (another copy).dat",160
24,18,18,7,13,25,480,0,0,0,0,28.5,21,81,0.25,2,0,1013,8,"July182013P22 (another copy).dat",170
24,19,18,7,13,25,480,0,0,0,0,28.5,21,86,0.24,2,0,1013,8,"July182013P22 (another copy).dat",180
24,20,18,7,13,25,482,0,0,0,0,28.5,22,91,0.23,2,0,1013,8,"July182013P22 (another copy).dat",190
24,21,18,7,13,25,483,0,0,0,0,28.6,23,96,0.23,2,0,1013,8,"July182013P22 (another copy).dat",200
24,22,18,7,13,25,484,0,0,0,0,28.6,24,100,0.23,2,0,1013,8,"July182013P22 (another copy).dat",210
24,23,18,7,13,25,486,0,0,0,0,28.6,25,105,0.23,2,0,1013,8,"July182013P22 (another copy).dat",220
24,24,18,7,13,25,487,0,0,0,0,28.6,26,110,0.23,2,0,1013,8,"July182013P22 (another copy).dat",230
24,25,18,7,13,25,488,0,0,0,0,28.6,27,115,0.22,2,0,1013,8,"July182013P22 (another copy).dat",240
24,26,18,7,13,25,490,0,0,0,0,28.6,28,120,0.22,2,0,1013,8,"July182013P22 (another copy).dat",250
24,27,18,7,13,25,491,0,0,0,0,28.6,29,124,0.22,2,0,1013,8,"July182013P22 (another copy).dat",260
24,28,18,7,13,25,492,0,0,0,0,28.6,30,129,0.23,2,0,1013,8,"July182013P22 (another copy).dat",270
24,29,18,7,13,25,494,0,0,0,0,28.6,32,134,0.23,2,0,1013,8,"July182013P22 (another copy).dat",280
24,30,18,7,13,25,492,0,0,0,0,28.6,32,139,0.22,2,0,1013,8,"July182013P22 (another copy).dat",290
24,31,18,7,13,26,495,0,0,0,0,28.7,33,144,0.22,2,0,1013,8,"July182013P22 (another copy).dat",300
24,32,18,7,13,26,496,0,0,0,0,28.7,34,148,0.22,2,0,1013,8,"July182013P22 (another copy).dat",310
24,33,18,7,13,26,497,0,0,0,0,28.7,36,153,0.22,2,0,1013,8,"July182013P22 (another copy).dat",320
25,1,18,7,13,26,410,0,0,0,0,25.3,0,0,0,2,0,1013,8,"July182013P22 (another copy).dat",0
25,2,18,7,13,27,418,0,0,0,0,25.1,0,4,0,2,0,1013,8,"July182013P22 (another copy).dat",10
25,3,18,7,13,27,423,0,0,0,0,24.9,0,9,0,2,0,1013,8,"July182013P22 (another copy).dat",20
25,4,18,7,13,27,428,0,0,0,0,24.8,16,14,1.47,2,0,1013,8,"July182013P22 (another copy).dat",30
25,5,18,7,13,27,432,0,0,0,0,24.7,21,19,1.38,2,0,1013,8,"July182013P22 (another copy).dat",40
25,6,18,7,13,27,437,0,0,0,0,24.6,25,24,1.29,2,0,1013,8,"July182013P22 (another copy).dat",50
25,7,18,7,13,27,441,0,0,0,0,24.5,30,28,1.25,2,0,1013,8,"July182013P22 (another copy).dat",60
25,8,18,7,13,27,446,0,0,0,0,24.4,34,33,1.2,2,0,1013,8,"July182013P22 (another copy).dat",70
25,9,18,7,13,27,450,0,0,0,0,24.4,38,38,1.17,2,0,1013,8,"July182013P22 (another copy).dat",80
25,10,18,7,13,27,454,0,0,0,0,24.3,42,43,1.14,2,0,1013,8,"July182013P22 (another copy).dat",90
25,11,18,7,13,27,459,0,0,0,0,24.3,46,48,1.11,2,0,1013,8,"July182013P22 (another copy).dat",100
25,12,18,7,13,27,463,0,0,0,0,24.2,50,52,1.09,2,0,1013,8,"July182013P22 (another copy).dat",110
25,13,18,7,13,27,467,0,0,0,0,24.2,55,57,1.06,2,0,1013,8,"July182013P22 (another copy).dat",120
25,14,18,7,13,28,472,0,0,0,0,24.1,59,62,1.04,2,0,1013,8,"July182013P22 (another copy).dat",130
25,15,18,7,13,28,476,0,0,0,0,24.1,63,67,1.03,2,0,1013,8,"July182013P22 (another copy).dat",140
25,16,18,7,13,28,480,0,0,0,0,24.1,67,72,1.02,2,0,1013,8,"July182013P22 (another copy).dat",150
25,17,18,7,13,28,484,0,0,0,0,24,71,76,1.01,2,0,1013,8,"July182013P22 (another copy).dat",160
25,18,18,7,13,28,488,0,0,0,0,24,75,81,1,2,0,1013,8,"July182013P22 (another copy).dat",170
25,19,18,7,13,28,492,0,0,0,0,24,79,86,0.99,2,0,1013,8,"July182013P22 (another copy).dat",180
25,20,18,7,13,28,497,0,0,0,0,24,83,91,0.98,2,0,1013,8,"July182013P22 (another copy).dat",190
25,21,18,7,13,28,501,0,0,0,0,23.9,87,96,0.98,2,0,1013,8,"July182013P22 (another copy).dat",200
25,22,18,7,13,28,505,0,0,0,0,23.9,92,100,0.97,2,0,1013,8,"July182013P22 (another copy).dat",210
25,23,18,7,13,28,509,0,0,0,0,23.9,96,105,0.96,2,0,1013,8,"July182013P22 (another copy).dat",220
25,24,18,7,13,28,514,0,0,0,0,23.9,100,110,0.96,2,0,1013,8,"July182013P22 (another copy).dat",230
25,25,18,7,13,28,518,0,0,0,0,23.9,104,115,0.95,2,0,1013,8,"July182013P22 (another copy).dat",240
25,26,18,7,13,28,522,0,0,0,0,23.8,108,120,0.95,2,0,1013,8,"July182013P22 (another copy).dat",250
25,27,18,7,13,29,526,0,0,0,0,23.8,112,124,0.94,2,0,1013,8,"July182013P22 (another copy).dat",260
25,28,18,7,13,29,530,0,0,0,0,23.8,116,129,0.94,2,0,1013,8,"July182013P22 (another copy).dat",270
25,29,18,7,13,29,534,0,0,0,0,23.8,120,134,0.93,2,0,1013,8,"July182013P22 (another copy).dat",280
25,30,18,7,13,29,539,0,0,0,0,23.8,124,139,0.93,2,0,1013,8,"July182013P22 (another copy).dat",290
25,31,18,7,13,29,542,0,0,0,0,23.8,129,144,0.93,2,0,1013,8,"July182013P22 (another copy).dat",300
25,32,18,7,13,29,546,0,0,0,0,23.8,133,148,0.93,2,0,1013,8,"July182013P22 (another copy).dat",310
25,33,18,7,13,29,551,0,0,0,0,23.8,137,153,0.93,2,0,1013,8,"July182013P22 (another copy).dat",320
26,1,18,7,13,31,428,0,0,0,0,26,0,0,0,2,0,1013,8,"July182013P22 (another copy).dat",0
26,2,18,7,13,31,430,0,0,0,0,26,0,4,0,2,0,1013,8,"July182013P22 (another copy).dat",10
26,3,18,7,13,31,433,0,0,0,0,26,0,9,0,2,0,1013,8,"July182013P22 (another copy).dat",20
26,4,18,7,13,31,435,0,0,0,0,26,7,14,0.53,2,0,1013,8,"July182013P22 (another copy).dat",30
26,5,18,7,13,31,438,0,0,0,0,26,10,19,0.52,2,0,1013,8,"July182013P22 (another copy).dat",40
26,6,18,7,13,31,440,0,0,0,0,26,12,24,0.52,2,0,1013,8,"July182013P22 (another copy).dat",50
26,7,18,7,13,31,443,0,0,0,0,26,15,28,0.51,2,0,1013,8,"July182013P22 (another copy).dat",60
26,8,18,7,13,31,445,0,0,0,0,26,17,33,0.5,2,0,1013,8,"July182013P22 (another copy).dat",70
26,9,18,7,13,31,447,0,0,0,0,25.9,19,38,0.51,2,0,1013,8,"July182013P22 (another copy).dat",80
26,10,18,7,13,31,450,0,0,0,0,25.9,22,43,0.51,2,0,1013,8,"July182013P22 (another copy).dat",90
26,11,18,7,13,31,452,0,0,0,0,25.9,24,48,0.51,2,0,1013,8,"July182013P22 (another copy).dat",100
26,12,18,7,13,32,455,0,0,0,0,25.9,27,52,0.51,2,0,1013,8,"July182013P22 (another copy).dat",110
26,13,18,7,13,32,457,0,0,0,0,25.9,29,57,0.51,2,0,1013,8,"July182013P22 (another copy).dat",120
26,14,18,7,13,32,459,0,0,0,0,25.9,31,62,0.51,2,0,1013,8,"July182013P22 (another copy).dat",130
26,15,18,7,13,32,462,0,0,0,0,25.9,34,67,0.51,2,0,1013,8,"July182013P22 (another copy).dat",140
26,16,18,7,13,32,464,0,0,0,0,25.9,36,72,0.51,2,0,1013,8,"July182013P22 (another copy).dat",150
26,17,18,7,13,32,467,0,0,0,0,25.9,38,76,0.51,2,0,1013,8,"July182013P22 (another copy).dat",160
26,18,18,7,13,32,469,0,0,0,0,25.9,41,81,0.5,2,0,1013,8,"July182013P22 (another copy).dat",170
